Category,Question,Answer
General,What first occurred at California Disneyland in March 1981,Murder
General,"Area of commerce that encompasses farming or trapping certain furbearing animals, processing their skins for sale to manufacturers of fur garments, & marketing finished garments to retail outlets",Fur industry
Sports & Leisure,What Colour Caps Do The Australian Cricket Team Wear,Green
General,What is the latin word for 'a junction of three roads',Trivia
General,49% of Americans go out to dinner on what day,Their Birthday
Sports & Leisure,Who Rode Shergar To Victory In The Epsom Derby?,Walter Swinburn
General,Whose normal heartbeat is 242 per minute,Mr Spock in Star Trek
Art & Literature,What Was The Name Of Charles Dickens Last Novel Unfinished At His Death,The Mystery Of Edwin Drood
General,What are The Chiuhauhan Nubian and Alaskan,Deserts
General,What's the seventh sign of the Zodiac,Libra
General,New Zealand's Rugby team is know as the __________________.,All Blacks
Sports & Leisure,At which sport was Fred Perry crowned world champion in 1929?,Table Tennis
Art & Literature,"Who is associated with the address 221B Baker Street, London ?",Sherlock Holmes
Sports & Leisure,In Which Scandanavian Country Is Gambling Illegal,Sweden
General,Which country is the largest producer of cheese,America
Geography,Which state is the Evergreen State,Washington
Science & Nature,What name is given to animals which eat both plants and meat ?,Omnivore
General,What is the most redesigned appliance in the world,Telephone Handset
Music,"Where was ""Can't Buy Me Love"" recorded?","Paris, France"
General,"What's the sky king's home, near the town of grover, called?",Flying crown ranch
Science & Nature,Which Continent Is The Natural Habitat Of The Ostrich,Africa
General,"What craft toy involved cutting plastic figures, coloring them in, and then baking them in the oven?",Shrinky Dinks
General,Deepest from what language is the word mummy derived,Persian
General,When was buckingham palace built,1703
General,Which is the only body cell with no nucleus,Red blood cell
General,"Who Was The First And Original Host Of ITV's ""World Of Sport""",Eamon Andrews
General,An onomastician studies what,Names
General,Hey! what was the name of this song released by 'the romantics' in february 1980,What i like about you
Music,Which Band Performed The Theme To The Secret Diary Of Adrian Mole Aged 13 & 3 Quarters,Ian Dury & The Blockheads
General,Penis comes from the Latin meaning what,Tail
General,What is the colour of mourning in Turkey,Violet
General,What special talent did Molly Ringwald have in The Breakfast Club?,She could apply lipstick with her breasts
General,Amatripsis is what sexual practice,Female masturbation rubbing labia
General,Name the Shakespeare character son of the witch Sycorax,Caliban in The Tempest
General,What is a calm ocean region near the equator called?,Doldrums
Music,Susanne & Joanne Catherall Sang With Which Band,The Human League
Geography,"Created By German Scientists In 1876, What Was The First Artificial Favouring",Vanilla Essence
 History & Holidays,What's the oldest college in the u.s.,Harvard
 History & Holidays,Where in the UK would you go to celebrate 'Uphelia'' shortly after Christmas,Shetland Isles
General,What is the young of this animal called: Antelope,Calf
General,The via appia went from rome to ______,Brindisi
General,Who qualified for pole position in the 1984 brazilian grand prix,Elio de
General,The distance around the outside of a circle is its ____________.,Circumference
 History & Holidays,"""What Is The Name Of The Toy That Arnold Schwarzenegger Desperately Tries To Get For His Son For Christmas In the Film """"Jingle All The Way""""?""",Turbo Man
General,If you landed at Lindberg airport where are you,San Diego
 Geography,Which Central American country extends furthest north?,Belize
General,What replaced English as the official language of Kenya in 1974,Swahili
 History & Holidays,On what date did America become an independant nation?,"July 4th, 1776"
General,What is the flower that stands for: steadfast piety,Wild geranium
General,"On One Day at a Time,what were the two daughter's names?",Barbara and Julie
Science & Nature,What Animal Can Change Its Colour?,A Chameleon
General,In the nursery rhyme what is Fridays child,Loving and Giving
General,What key is to the right of T on a keyboard?,Y
General,What is the main food of walruses ,Clams
General,In A 2007 Poll What Music Video Was Voted The Best Video Of All Time,Peter Gabriel / Sledgehammer
Art & Literature,What is the fourth book in the Harry Potter series,The Goblet Of Fire
Art & Literature,For What Is Dame Margott Fonteyn Famous,Ballet Dancing
General,In which Chinese city is the Terracotta Army,Xian
Entertainment,Who played George Costanza on 'Seinfeld'?,Jason Alexander
People & Places,Which FootbaIl Bad Boy Was Accused Of Violent Assault Against Tv Presenter Ulrika Jonsson,Stan Collymore
General,Capitol city - Cathedrale Notra-Dame - statue Marron Inconnu,Port au Prince Haiti
 History & Holidays,Alphabetically Which Is The Last Of Santa's Reindeers?,Vixen
General,The American Triple Crown - Belmont st Kentucky Derby and?,Preakness Stakes
 Geography,What country is directly north of the continental United States?,Canada
General,Happy Days was a spin off from what US TV show,Love American Style
General,Who was called The Man of Destiny,Napoleon Bonaparte
General,Which thick custard-like food is made when fresh milk is artificially curdled by bacteria,Yoghurt
General,What is the only bird that can fly backwards,Hummingbird
General,What is a group of toads,Knot
General,The Blue Ridge Mountains lie in Virginia and which other state,Georgia
Sports & Leisure,What Do The Initials TT Stand For In Regard With The Isle Of Man Motorcyle Race?,Tourist Trophy
General,"Who said ""In my free time I do differential and integral calculus""",Karl Marx
General,Ouranophobia is a fear of ______,Heaven
General,As what is sulphur also known,Brimstone
General,Who was the male lead character in Gershwins musical that featured the song Summertime,Porgy
General,What does barley become when prepared for brewing,Malt
General,What minty confection is a boys name - in reverse,Trebor mints - Robert
General,What is a cpu,Central processing unit
Sports & Leisure,Tony Drago is a snooker professional from which country?,Malta
General,The use of astronomical phenomena to predict earthly & human events is called,Astrology
General,Name the female British climber while killed trying to climb K2 in 1995,Alison hargreaves
General,The amount of what substance in granite determines its color,Feldspar
Music,"Who Had A Hit In 1993 With ""She Don't Let Nobody""",Chaka Demus & Pliers
General,Who released the No.1 hit single 'Barbie Girl' in October 1997,Aqua
Music,With Which Band Is Raul Malo The Lead Singer,The Mavericks
General,12 is the atomic number of which metal,Magnesium
General,What does a zoologist study,Animals
General,What does a linguist study,Languages
General,"What rock makes the cheapest, softest form of sandpaper",Flint
General,"In Greek mythology, for who did the cyclops forge thunderbolts",Zeus
General,Hans Lippershey made the worlds first practical what,Microscope
Music,Who Is Known As Lady Soul,Aretha Franklin
General,Which department uses 65% of all paper bought by US gov,Defence department
General,What is the flower that stands for: betrayal,Judas tere
Sports & Leisure,What Events Are Involved In A Biathlon,Cross Country Skiing & Shooting
General,What is the flower that stands for: avarice,Scarlet auricula
Geography,____________ possesses more proven oil reserves than any country outside the Middle East.,Venezuela
Music,"Who Won An Oscar For His Portrayal Of Broadway Legend George M Cohan In ""Yankee Doodle Dandy""",James Cagney
General,Name the only major Greek God whose Roman counterpart has the same name,Apollo
Music,Ebony & Ivory Was A Hit For Which Famous Duo,Paul McCartney & Stevie Wonder
General,Where can you buy a cup of coffee with cruzeiros,Brazil
General,Alfred Jingle appears in which Dickens novel,The Pickwick Papers
 Geography,What is the largest island in the Indian Ocean?,Madagascar
General,A pound of armadillo meat contains how many calories,780 calories
Science & Nature, A wolf's odor detecting ability is __________ times greater than man's.,100
General,On what sea is the crimea,Black sea
General,Whose boat Bluebird was recently raised from Coniston water,Donald Campbell
General,Lee Where were the Toltecs from,Mexico
Music,What note is written in the space above the bottom line of the treble clef?,F
General,What myth is the rhinocerous thought to have inspired,Unicorn
Music,What Was The First Top 10 Hit For The Temptations Reaching No.3 In 1969,I'm Gonna Make You Love Me
Music,"From Which Country Did The Dance, The Quadrille, Originate",France
Geography,"If its 4:00pm in Seattle Washington, what time is it in Portland Oregon",4
General,Lockjaw is another name for which disease,Tetanus
Science & Nature,What two colors is a magpie,Black and white
General,What is Moscow's famed opera house,The bolshoi bolshoi
General,The pound cake got its name from the pound of ______ it contained,Butter
General,The town of Beersheba is in which country,Israel
 Geography,What country borders Libya on the East?,Egypt
General,In what Australian state would you find Port Pirie,South australia
General,What sporting event first took place in 1903,Tour de france
General,By US government figures people have tried 28000 ways of what,Losing Weight
Music,"Who Is The Lead Singer Of The Band ""The Police""",Sting
General,Who holds the nhl record for the most goals scored during a regular season,Wayne gretzky
General,What type of number has no factors other than 1 and itself,Prime
Geography,In which state is stone mountain,Georgia
General,Agrippa poisoned her husband/uncle who was he,Claudius
Music,What Was The Beat's Second Chart Success Achieving No.9 In Feb 1980,"Hands Off, She's Mine"
General,In what country could you spend a tugrik,Mongolia
Geography,"What island group contains jersey, guernsey, sark and herm",The channel islands
General,"Why, in 1969, did the French flag appear on some British postage stamps",To commemorate concorde's maiden flight
General,How was Australias most infamous bush ranger,Ned kelly
Science & Nature," When young, the hoatzin, a crested, olive_colored South American bird, has claws on its __________",Wings
General,A spice from which root is used to give food a yellow colour,Turmeric
General,Legal Terms: A supplement to a will.,Codicil
General,Who is the only musician in history to bring out two albums to reach number one in one year?,DMX
General,What country in distance is furthest from New Zealand,Spain
General,"In Greek mythology, which monster had the head and breasts of a woman, the body of a lion and the wings of a bird",Sphinx
Entertainment,"What was the name of the restaurant the TV series ""Happy Days""?",Arnolds
General,What was the pre-war German name for the Baltic city which is now Russian and called Kaliningrad,Konigsberg
General,What is sometimes known as Goober Grease,Peanut Butter
General,On which river is Warsaw to be found,Vistula wisla
General,What animal always gives birth to same sex twins,Armadillo
 History & Holidays,Dr. Christian Barnard performed the world's first ever what in South Africa in 1967.,Heart Transplant
General,"Who sang the Song ""Gangsta's Paradise""?",Coolio
Geography,"Can you give me the capital of the following three countries: Syria, Morocco and Libya?","Damascus, Rabat, Tripoli"
Music,Pete Burns From Dead Or Alive Was Spun Around Like A What,Record
General,The temperature at what dew forms is called the,Dew point
General,How many children did Adam and Eve have together,Three
General,In the USA domestic violence peaks on what day of the year,Superbowl Sunday
Sports & Leisure,How many balls are on a pool table at the start of a game?,16
General,What is the eighth month of the year,August
Science & Nature,Which two metals make up brass?,Copper and Zinc
Science & Nature,What Is Another Name For The Wildebeest?,A Gnu
Science & Nature,This protein makes the blood red in color.,Hemoglobin
General,"Who stars in the movie ""Tomb Raider""?",Angelina Jolie
General,Who wrote Fahrenheit 451,Ray bradbury
General,A flat round soft creamy French cheese,Brie
Food & Drink,Who released the following 'edible' album 'Pretzel logic',Steely Dan
General,What is the most southerly County of Ireland,Cork
General,A chronic disease of the liver,Cirrhosis
General,"In Shakespeare's 'Merchant of Venice', with whom does Portia fall in love",Bassanio
Music,"With Just ""Paul McCartney"" On The Label As Artist Name His First No.1 In 1984",Pipes Of Peace
General,"The Graf Zeppelin completed a 19,500 mile trip in what year",1929
General,The state tree of Arizona is really a legume - name it,Palo Alto
General,The locals call it Misi what do we call this country,Egypt
Sports & Leisure,Which Football Team Play Their Home Games At Stamford Bridge,Chelsea
 History & Holidays,Godzilla first made his mark so to say in 1954. What do the Japanese call Godzilla ?,Gojira
General,Which Singer Of A Very Famous 90's One Hit Wonder Has The Real Name ? Robert Van Winkle ?,Vanilla Ice
General,The FIS governs what sport,International Ski Federation
General,"""Fruit smack flavored syrup"" was the original name of",Kool aid
General,Texans consume 40% of farm grown what in the USA,Catfish
General,Vivaldi's concertos Opus 8 Numbers 1-4 better known as what,The four Seasons
General,How Did Louis Washkansky Of South Africa Make History In 1967,1st Heart Transplant Recipient
General,"When someone is clumsy or awkward, especially with their hands, they are often said to be ""all ___."" These",Thumbs
Science & Nature," From crocodile farms, Australia exports about 5,000 crocodile skins a year. Most go to Paris, where a crocodile purse can sell for more than __________",10000
Science & Nature,"What links flamsteed halley, bradley and bliss",Astronomy
General,To which part of the body does the adjective 'renal' refer,Kidney
General,Which annual sporting event between 2 teams started in 1829,The University Boat Race
General,Archbishop Makarios of Cyprus was exiled in 1956 to where,The Seychelles
General,-isms: Indifference to pleasure of pain; Greek philosophical system following the teachings of Zeno?,Stoicism
General,"Which Danish philosopher, wrote The Concept of Dread and later had his views used as the basis for existentialism",Soren kierkegaard
General,The Kung San people live in what area of Africa,Kalahari Desert in Botswana
General,What is the flower that stands for: delay,Eupatorium
General,"Who composed the opera ""A Village Romeo and Juliet""",Frederick delius
 History & Holidays,"What Connects Kenny, Everett, Annie Lennox, And Sir Isaac Newton",Born On Xmas Day
Science & Nature,How many tentacles does a squid have,Ten
General,William Herschel astronomer was a musician what instrument,Organ
General,What got its name from a bridgeport pie company's name and light-weight pie tins,Frisbees
General,Which character is the narrator of Melville's Moby Dick,Ishmael
 Geography,Into which bay does the Golden Gate Strait lead?,San Francisco Bay
People & Places,Who Was The First man To Set Foot On The Moon ?,Neil Armstrong
General,"What lake is the world's largest, having an area of almost 394,000sq km",Caspian sea
General,What was Kevin Bacon's first big hit,Footloose
General,For who was the play 'peter pan' exclusively written,Children
Food & Drink,"Italian dish consiting of olives, anchovies, salami, celery, and appetizers.",Antipasto
General,Bond: What is Goldfinger's first name,Auric
General,Fulton John Short - Later John Fulton first US to do what,Qualify as Matador
Science & Nature,The Sun is how much more dense than water?,1.41 times
General,"Who sang the song ""Cry"" which was the first video on Mtv to use morphing technology through the entire video?",Godley and Creme
General,How many medals did the USSR win at the 1984 Olympics,None
 History & Holidays,The second line of which carol is '? When they are both full grown'',The Holly & The Ivy
Entertainment,Who played Charlie in Charlies Angels?,John Forsythe
General,To which family does the coffee plant belong,Madder
General,Who designed the first Iron ship the Great Britain in 1845,I. Kingdom Brunel
General,"Who won an oscar for her role in ""gone with the wind""",Vivien leigh
General,Who played Lofty in Eastenders,Tom watt
Music,How Are Craig And Charlie Reid Better Known?,The Proclaimers
Music,Bandleader James Last Started Out Playing Which Instrument,Double Bass
People & Places,What is the singer Meat Loafs Real Name,Marvin Lee Aday
General,Life Love Cows French translation of which film,City Slickers
General,What does breaking the sound barrier cause,A Sonic Boom
Religion & Mythology,"What was the town that ancient Greeks believed to be the centre of the world, and was the home of a famous oracle?",Delphi
General,Which small republic makes up Yugoslavia with Serbia,Montenegro
Science & Nature,What Is The Largest Key On A Standard Computer Keyboard,The Space Bar
General,What Event Occurs At Walthamstow Stadium?,Greyhound Racing
Music,Which Letter Of The Alphabet Do The Sound Holes On Violins Resemble,The Letter 'S'
General,In Norway what is a brisling,A Sprat
Music,"In the world of music, what job did Simon Fuller get sacked from in 1997?",Manager of the Spice Girls
General,What does a hyperphiliac suffer from,Great desire for sex
General,In what modified vegetable did Cinderalla travel to the ball in?,Pumpkin
General,"Which Classic TV Show Had A Theme une Entitled ""Quiz Wizard""",Blockbusters
General,Which is the longest river - not river system - in the U.S.A.,The missouri
Food & Drink,Food That Is Permitted To Be Eaten Under Jewish Dietary Laws Is Known As What,Kosher
General,In 1861 Dows Ginger Ale was the first to be what,Sold in a Bottle
General,"Which US state holds the record for most snowfall in a day, recorded February 7, 1916?",Alaska
General,Russia has one but the US has at least six - what,Places called Moscow
General,What U.S. state includes the telephone area code 505,New mexico
General,In Scotland what was the tawse,Teachers Strap or belt
Music,Which French Superstars Originated My Way,Claude Francois
General,What number is at 12 o'clock on a dartboard,20
 Geography,Which city is known as Motown?,Detroit
General,What is a Chorizo,Spicy Sausage
General,Who recorded the album Beggars Banquet,Rolling stones
General,"John Gore, Edward Saunders pioneered what org in Australia",Salvation Army
General,Catch 22 had what original name - publisher changed it,Catch 18
 Geography,What is the basic unit of currency for Uzbekistan ?,Sum
Science & Nature,"Which Fish, Previously Thought To Be Extinct Was Rediscovered In 1939?",The Coelacanth
General,"In Germany, where would you be if you were in a ""Krankenhaus""",Hospital
General,What was created in Canada in 1923 for first time criminals,A Spanking Machine
General,In which Mediterranean Sea are the Cyclades islands,The aegean
General,What colour toothbrush do most people have,Blue
General,Which fictional park is the home of Yogi Bear,Jellystone
General,The first American advertisement for tobacco was published in what year,1789
General,Papaphobia is the fear of,The pope
General,How many US states border an ocean?,23
General,The Amazon river dolphins are what colour,Pink
General,What is the Islamic equal to the red cross,Red Crescent
General,What is a group of this animal called: Sparrow,Host
General,William Tell was the best crossbow archer and what else,Boatman
Sports & Leisure,Loftus Road is the home of which football club?,Queens Park Rangers
General,Palmolive promised to help women keep what,Schoolgirl  complexion
Sports & Leisure,The Solheim Cup Is The Womans Equivalent Of Whhich Famous Sporting Cup ?,The Ryder Cup
Music,What did The Band The Clash Rock,The Casbah
General,How many ring are there on the olympic flag,Five
General,How long is the le mans endurance motor race,24 four hours
General,On which fictional street does 'Freddy Kruger' live out a nightmare,Elm street
Food & Drink,Which contains more caffeine - coffee beans or tea leaves?,Tea Leaves
General,What does a depilatory remove,Hair
General,Leaflike part of a fern or palm,Frond
Music,"Who Recorded The Early 1990's Indie Classic ""Sheffield Sex City""",Pulp
General,On which Caribbean island are the Blue Mountains,Jamaica
General,Name Alice's pet cat,Dinah
Food & Drink,"What drink is a mixture of brandy, egg yolks & vanilla?",Advocaat
General,Who was the first woman to fly the Atlantic alone ?,Amelia Earhart
General,John Augustus Larson invented what in 1921,Lie detector
Sports & Leisure,"How is the chess term ""shah mat"" better known ?",Checkmate
Science & Nature,What body function is improved if you sleep on your right side?,Digestion
General,"What Mojave Desert city has a name meaning ""the meadows"" in spanish",Las vegas
Food & Drink,How Are The TV Chefs 'Simon King & David Myers'' More Commonly Known,The Hairy Bikers
General,What nutrient is required by the body in order to build up muscles,Protein
General,What is a Texas Ruby Red,Grapefruit
 History & Holidays,What notorious event occurred on the 24th October 1929?,The Wall Street Crash or (Black Thursday)
General,"What cereal carries the slogan, ""a bowl a day keeps the bullies away""",Apple
General,Where are you if you land at Norman Manley airport,Kingston Jamaica
General,Durbarry is cream of a vegetable soup  - what one,Cauliflower
General,"Which word follows Juliet, Kilo and Lima",Mike
General,What is a gondola,Water taxi
General,Which science fiction writer developed a series of ethics for robots known as the Laws of Robotics,Isaac asimov
General,What year was Neptune discovered,1846
General,In what Hitchcock film did Shirley MacLaine debut in 1956,The trouble with Harry
 Geography,Name the capital of Brazil.,Brasilia
General,What who caught the grinch in the act of stealing the christmas tree,Cindy-lou who cindy lou who
 History & Holidays,"Whose epitaph reads, free at last, free at last, thank god almighty, i'm free at last",Martin luther king jr.
General,"In 'star trek', what is data's rank",Lieutenant commander
Music,"""He's In Town"" Was A Hit In 1964 For Which British Group",Rockin Berries
General,Which word describing chaos first appeared in Milton's Paradise Lost,Pandemonium
General,Which soul singer was Sittin on the Dock of the Bay,Otis Redding
General,Who patented the safety razor in 1895,King gillette
Sports & Leisure,Which Team Has Won The County Cricket Championships The Most Often?,Yorkshire
Art & Literature,"A realistic style of painting in which everyday life forms the subject matter, as distinguished from religious or historical painting.  ",Genre painting
General,What was the first country to recognise the US as independent,Morocco
General,Who invented the electrical bass,Leo fender
General,Who was 'too sexy for his shirt',Right said fred
General,What are a group of magpies called,A tittering
 History & Holidays,In What Year Was Band Aids 'Do They Know Its Christmas' The UK Christmas No.1 Single,1984
General,Who invented the Polaroid camera,Edwin land
General,Ethel who is the spokesperson for the exercise tapes 'tae bo',Billy blanks
 Geography,What is the basic unit of currency for Solomon Islands ?,Dollar
General,Tree with a thin peeling bark the twigs also used for flogging,Birch
Food & Drink,"Creme de Cacao, cream, and brandy make up which type of cocktail",Brandy Alexander
Science & Nature,What animal is depicted on the logo of Toys R Us?,Giraffe
General,How many bits was the intel 4004 chip,4 bits
General,Who married Thelma Catherine Patricia Ryan,Richard nixon
General,In WW2 the Germans launched operation Bernhard - what,Counterfeit British notes
General,What takes place in Happy Valley Hong Kong,Horse racing
General,"What is the name of Mr. Rochester's house in ""Jane Eyre""",Thornfield hall
General,"What is a characteristic of a ""nimbus"" cloud",Rain
Food & Drink,What Dessert Consists Of Ice Cream Covered In Meringue And Baked In The Oven,Baked Alaska
General,Pluto Greek god of the underworld - what was Plutus god of,Wealth
General,Which Salford brewer gave his name to the S.I. unit of energy,Joule
Music,Which Lucky Man Spent Seven Weeks In The charts With Olivia And Sixteen With Sarah,Cliff Richard (Olivia Newton John) & (Sarah Brightman)
Geography,Which Is The Smallest State In The Usa,Rhode Island
People & Places,Who Sued For Libel After Being Described As Boring,William Roache (Ken Barlow)
General,What did Trevor Baylis invent,Clockwork Radio
General,"To send transatlantic telegraph messages, 3,000 miles of cable were laid under the Atlantic in what year",1886
General,A novel by Keith Waterhouse,Billy liar
General,What is a female cat called?,Queen
General,Which nfl's defensive unit was named 'the purple people eaters',Minnesota
General,How many feet are there in a nautical mile,6080
General,What is the full moon nearest the autumnal equinox,Harvest moon
General,One of this groups greatest albums was 'slippery when wet' released in 1986,Bon jovi
General,To which gentleman's club did Phineas Fogg belong,The Reform
General,Approximately how many inches are in a meter,39
General,"Suspension of tiny particles of one substance, called the dispersed phase, in another phase, called the dispersion medium",Colloid
General,What is the flower that stands for: sensitiveness,Mimosa
General,Sandra Wes of Texas died in 1977 was buried in what,Her blue Ferrari
Science & Nature,What italian astronomer wrote the starry messenger,Galileo
General,I'll Never Fall In Love Again' came from which musical,Promises promises
General,Handel's Largo comes from which opera,Xerxes
General,"Who Sang Backing Vocals On The Dire Straits Hit ""Money For Nothing""",Sting
General,What major law was violated in the movie Smokey and the Bandit?,Smuggling beer
General,What is the name of the reverend who appears in the cartoon series 'The Simpsons'?,Timothy Lovejoy
General,Actor Arnold Schwarzenegger bought the first Hummer manufactured for civilian use when,1992
Music,Which Trio Released The Album Crazy Sexy Cool,TLC
General,What was first used as a medical treatment in 2700 bc by Chinese emperor Shen Nung,Acupuncture
General,Alfred Wallace coined which phrase - Wrongly given to Darwin,Survival of the Fittest
General,"Transom, poop and keel are all parts of a what",Boat
General,"In The United States Of America How Is ""Feb 2nd"" More Commonly Known",Groundhog Day
General,What is a two-humped dromedary,Camel
General,The Best or Nothing is the motto of what company,Mercedes-Bentz
General,What was the first magazine to publish a hologram on its cover,National Geographic
General,The comma bacillus causes what disease,Cholera
General,How many spectral colors are in a rainbow,27
General,50% of the US annual rainfall falls in what month,April
General,What were the dolls in the novel 'valley of the dolls',Pills
 History & Holidays,Who was UK Labour cabinet minister and social reformer Frank Pakenham better known as?,Lord Longford (7th Earl of Longford)
General,Who were the first people to measure the year,Babylonians
General,What type of metal is used in the filament of an electric light bulb,Tungsten
General,Michael O Brien Became Britains First Ever What On April 20th 1974 (Many Have Followed In His Footsteps),Streaker
General,Smith most common English surname what's the Japanese,Suzuki
General,Temperature when condensation occurs is called the,Dew point
General,"Botvinnik, Petrosian and Tal have all been World Champions of what",Chess
 Geography,Libreville is the capital of ______?,Gabon
General,Term for animals in the class including the scorpions and spiders,Arachnid
 History & Holidays,Who was known as 'the peanut president'?,Jimmy Carter
Geography,In which South American country is the Atacama desert?,Chile
General,"Where in the body would you find the malleus, incus and stapes",Inner ear
General,What is the next-to-last event,Penultimate
Sports & Leisure,What is the last event in a decathlon ?,1500 Metres
General,What do pigments give to your hair & skin,Colour
Sports & Leisure,Which English club was formed in 1887 as Ardwick FC?,Manchester United
 Geography,What is the basic unit of currency for Kiribati ?,Dollar
General,Which film won the best makeup Oscar in 1992,Bram Stokers Dracula
General,"In an average lifetime, the average american sees 345 movies in ___",Theaters
Sports & Leisure,The German Athlete Jurgen Hingsen was always runner-up to which British Athlete in major competitions?,Daley Thompson
General,What is the fear of things to the left or left-handed known as,Sinistrophobia
General,What are Munroes,Mountains in Scotland
General,Marbella is a resort on which Spainsh coast,Costa del sol
General,Who controlled the government of china before mao tse tung,Chiang kai-chek
Geography,In What Year Did Captain Cook Reach New Zealand,1769
Food & Drink,What 'R'' Is The Name Given To A Picked Herring,Rolemop
General,Angelo Scicilano better know as who,Charles Atlas
General,What fish is known as poor mans lobster,Monk Fish
Geography,In what city are the famous tivoli gardens,Copenhagen
General,"Which Wimbledon Tennis Champion Had A Role In The John Wayne Film ""The Horse Soldiers""",Althea Gibson
General,How far does the cruise liner 'queen elizabeth ii' move for each gallon of diesel it burns,Six inches
General,Which saint founded a monastery at Iona in the sixth century,Saint columba
Music,"Who Recorded The Album ""Who Made Who""",ACDC
General,Hukusai and Hiroshige were famous Japanese what,Artists
General,What is the fear of being tickled by feathers known as,Pteronophobia
Food & Drink,What is the most common pub name in Great Britain?,The Red Lion
 History & Holidays,What toy was released in 1957 creating an instant craze among children?,The Hula Hoop
General,What is the Capital of: Samoa,Apia
 Geography,Tirana is the capital of ______?,Albania
General,The angel of independence in Mexico City was built by who,Salvador rivas mercado
Geography,What Is The 2nd Official Language Spoken In Germany,Turkish
General,"In the 'james bond' books, to who is miss moneypenny secretary",M
Science & Nature," The weasel and the ermine are the same animal. This mammal's coat changes with the season _ in its white winter coat, it is known as an ermine, in its brown coat, it is a __________",Weasel
General,Which fictional land was used to describe John F Kennedy's term as president,Camelot
General,Where are the deepest mines,South africa
General,Which is the only u.s state capital without a mcdonald's,"Montpelier, vermont"
General,What is the name of the Danish parliament,The folketing
Music,"About Whose Sister Is John Lennons Song ""Dear Prudence""",Mia Farrow's
General,What is the main ingredient in Borsch,Beetroot
General,What does jefferson davis' headstone say,"At rest, an american soldier and"
General,Who was the first woman to sail single-handed around the world,Naomi james
Science & Nature,Our galaxy is commonly known as the ________.,Milky Way
General,What is the capitol of Chechnya,Grozny
General,Teenage riot' and 'silver rocket' are two cuts off which alternative rock group's 1988 'daydream nation' album,Sonic Youth
General,Rabbit 32 - Cat 62 - Ferret 42 - Squirrel 44 - Hedgehog 40 what,Gestation days
General,"Who In The World Of Music And Born 1984 Has The Real Name""Victoria Christina Hesketh""",Little Boots
Music,"Which Stones Hit Was Reputedly Based On Martha Reeves & The Vandellas ""Dancing In The Street""",I Can't Get No Satisfaction
 History & Holidays,In What Year Was The Chinese Republic Established,1911
General,What country celebrates its National Day on 17th May?,Norway
Geography,Which City Is The Worlds Most Densely Populated,Macau
General,Who announced his retirement from football after nine seasons in the NFL on the set of The Dirty Dozen in London,Jim Brown
General,"Which film director's films include ""Raging Bull"" and ""Goodfellas""",Martin scorsese
General,What is the old english word for 'sneeze',Fneasan
Music,Name Dan Hartman's first hit?,Instant Replay
General,What is the Capital of: Cameroon,Yaounde
General,"In the traditional song, what did the children dance around ""on a cold and frosty morning""",The mulberry bush
General,"What is made up of the duodenum, jejenum and ileum",Small intestine
General,Which detective dies in The Final Problem,Sherlock Holmes
Food & Drink,"This drink is made from espresso coffee, steamed milk and chocolate.",Mocha
General,What was the screen name of the lead character in The Untouchables,Elliot
Food & Drink,Which Type Of Prepared Bread Is Named After An Opera Singer?,Melba Toast
General,Bobby locke was the first south african golfer to win which open,British
 History & Holidays,Who Was Declared Dead On New Years Day 1953 At The Age Of 29?,Hank Williams
Geography,Which country would come first in an alphabetical list of countries,Afghanistan
Science & Nature,Which Aviation Company Produces The DC Series Of Aircraft,McDonnel Douglas
General,What does 'aandw' of root beer fame mean,Allen and wright
General,In the Northern hemisphere its Jan 1st South Aug 1st what is,Racehorse official birthdays
General,Which 1954 film won eight Oscars,On the Waterfront
 History & Holidays,In which country do they pound rice into a glutinous form using a huge hammer?,Japan
General,What capital city translates as Capital City in the native tongue,Seoul - South Korea
General,The Gorbals is a district of which city,Glasgow
General,"Sweet or fermented juice of apples, used as a beverage and for making vinegar",Cider
General,Who wrote mIRC?,Khaled Mardam-Bey
General,"Who recorded ""Barbara Ann"" in 1961",Regents
General,Which Singer Become A Father For The 7 th Time Aged 55 In the Year 2007,Stevie Wonder
Music,Name Two Frank Ifields No.1's,"I Remember You, Lovesick Blues, Wayward Wind, Confessin"
General,Which English actor won his first Oscar for a role in 'Arthur' at the age of 77,Sir john gielgud
General,Which real person took name meaning Man of Steel,Joseph Stalin
Science & Nature,What is the common name for the sternum?,Breastbone
General,What has accumulated in the muscles in someone suffering from emphysema,Air
General,The average American does it 1811 times in their life - what,Eat at MacDonald's
Sports & Leisure,What piece of sporting equipment has a maximum length of 42 inches and a maximum thickness of 1 & 1/2 inches?,A Baseball Bat
Geography,"Which Mountain Range Lies In The North Of Spain , West Of The Pyrenees",The Cantabrian Mountains
Art & Literature,On what book was 'Three Days Of The Condor' based?,Six Days Of The Condor
General,If you went on the road to Mandalay what country are you in,Miramar or Burma
General,Letterman who did david letterman pay four cartons of marlboro to be on his show,Miss
Science & Nature,What has superseded Newtonian mechanics of the atomic scale ?,Quantum mechanics
General,What is the correct name for a baby mink,Kit or Kitten
 History & Holidays,Of which Cambodian party was Pol Pot the leader?,Khmer Rouge
General,What does UFC stand for?,Ultimate fighting championships
General,The Campbell-Stokes recorder measures what with a glass ball,Sunshine
Science & Nature,What Is An Otoscope Used To Look At,The Ear
General,What lies between Stockholm and Riga,Baltic sea
